"fabricante_oleo","modelo_oleo","viscosidade"
"-","Arla 32","-"
"-","CLP","ISO VG 150"
"-","CLP","ISO VG 220"
"-","CLP","ISO VG 320"
"-","CLP","ISO VG 460"
"-","CLP","ISO VG 68"
"-","CLP","ISO VG 680"
"-","Diesel B S10","-"
"-","Diesel B S500","-"
"-","HLP","ISO VG 32"
"-","HLP","ISO VG 46"
"-","HLP","ISO VG 68"
"-","MONO ETILENO 78%","-"
"-",NULL,"-"
"-",NULL,"1005"
"-",NULL,"102 EAL"
"-",NULL,"11480 (50% de óleo 6800 + 50% de óleo 20000)"
"-",NULL,"1340"
"-",NULL,"20W"
"-",NULL,"220"
"-",NULL,"220 EP"
"-",NULL,"30"
"-",NULL,"300 C"
"-",NULL,"30W"
"-",NULL,"3100"
"-",NULL,"320"
"-",NULL,"40 (INACTIVO)"
"-",NULL,"40W"
"-",NULL,"41-141"
"-",NULL,"424"
"-",NULL,"46"
"-",NULL,"460"
"-",NULL,"4600"
"-",NULL,"500"
"-",NULL,"50/50"
"-",NULL,"50W"
"-",NULL,"550"
"-",NULL,"5W20"
"-",NULL,"5W40"
"-",NULL,"600 XP 100"
"-",NULL,"600 XP 150"
"-",NULL,"600 XP 220"
"-",NULL,"600 XP 320"
"-",NULL,"600 XP 460"
"-",NULL,"600 XP 68"
"-",NULL,"626"
"-",NULL,"627"
"-",NULL,"629"
"-",NULL,"630"
"-",NULL,"632"
"-",NULL,"636"
"-",NULL,"668"
"-",NULL,"68"
"-",NULL,"680"
"-",NULL,"681"
"-",NULL,"70W90"
"-",NULL,"75W"
"-",NULL,"75w140"
"-",NULL,"75W80"
"-",NULL,"75W95"
"-",NULL,"8000"
"-",NULL,"80W"
"-",NULL,"80w140"
"-",NULL,"80W90"
"-",NULL,"85W40"
"-",NULL,"85W90"
"-",NULL,"860-460"
"-",NULL,"9000"
"-",NULL,"Arla 32"
"-",NULL,"AT101"
"-",NULL,"AT102"
"-",NULL,"ATF"
"-",NULL,"ATF 102"
"-",NULL,"ATF 200"
"-",NULL,"ATF DM"
"-",NULL,"ATF MD3"
"-",NULL,"AW32"
"-",NULL,"AW 68 HLP"
"-",NULL,"Biodiesel B100"
"-",NULL,"BSE 170"
"-",NULL,"Collant"
"-",NULL,"Coolant"
"-",NULL,"COOL-GARD"
"-",NULL,"DTE 26"
"-",NULL,"DTE 46"
"-",NULL,"EP 2"
"-",NULL,"EX 46"
"-",NULL,"Fluid DOT4"
"-",NULL,"Glicol"
"-",NULL,"GRAU 100"
"-",NULL,"GRAU 1000"
"-",NULL,"GRAU 400"
"-",NULL,"HD 30"
"-",NULL,"HD 50"
"-",NULL,"HD 85W140"
"-",NULL,"HIDROBAK HV 68"
"-",NULL,"HM68"
"-",NULL,"HO-46"
"-",NULL,"HO-56"
"-",NULL,"Hydrau"
"-",NULL,"HYGARD"
"-",NULL,"HY-TRAN"
"-",NULL,"ISO 100"
"-",NULL,"ISO 120"
"-",NULL,"ISO 220"
"-",NULL,"ISO 32"
"-",NULL,"ISO 320"
"-",NULL,"ISO 3200"
"-",NULL,"ISO 360"
"-",NULL,"ISO 46"
"-",NULL,"ISO 460"
"-",NULL,"ISO 55"
"-",NULL,"ISO 68"
"-",NULL,"ISO VG 10"
"-",NULL,"ISO VG 100"
"-",NULL,"ISO VG 1000"
"-",NULL,"ISO VG 15"
"-",NULL,"ISO VG 150"
"-",NULL,"ISO VG 22"
"-",NULL,"ISO VG 220"
"-",NULL,"ISO VG 25"
"-",NULL,"ISO VG 32"
"-",NULL,"ISO VG 320"
"-",NULL,"ISO VG 45"
"-",NULL,"ISO VG 46"
"-",NULL,"ISO VG 460"
"-",NULL,"ISO VG 55"
"-",NULL,"ISO VG 68"
"-",NULL,"ISO VG 680"
"-",NULL,"ISO VG 68 (duplicado)"
"-",NULL,"Klüber Summit R 200"
"-",NULL,"M 420"
"-",NULL,"mobil"
"-",NULL,"Mysella S5 N40"
"-",NULL,"N 32"
"-",NULL,"NA"
